accession,description,gene_name,unique_peptides,control_1,control_2,control_3,lowDO_1,lowDO_2,lowDO_3,lowTEMP_1,lowTEMP_2,lowTEMP_3,low_TEMP_DO_1,low_TEMP_DO_2,low_TEMP_DO_3,antibody_mass_da,protein_mass_da,control_1 ppm,control_2 ppm,control_3 ppm,lowDO_1 ppm,lowDO_2 ppm,lowDO_3 ppm,lowTEMP_1 ppm,lowTEMP_2 ppm,lowTEMP_3 ppm,low_TEMP_DO_1 ppm,low_TEMP_DO_2 ppm,low_TEMP_DO_3 ppm,species,gene_name_lower,control_mean,control_std,control_cv_pct,control_detected,control_mean_ppm,lowDO_mean,lowDO_std,lowDO_cv_pct,lowDO_detected,lowDO_mean_ppm,lowTEMP_mean,lowTEMP_std,lowTEMP_cv_pct,lowTEMP_detected,lowTEMP_mean_ppm,low_TEMP_DO_mean,low_TEMP_DO_std,low_TEMP_DO_cv_pct,low_TEMP_DO_detected,low_TEMP_DO_mean_ppm,overall_mean_abundance,abundance_rank,lowDO_log2fc,lowDO_responsive,lowTEMP_log2fc,lowTEMP_responsive,low_TEMP_DO_log2fc,low_TEMP_DO_responsive,num_conditions_responsive,hcp_risk
G3ILH1,Uncharacterized protein (Fragment) OS=Cricetulus griseus OX=10029 GN=I79_024737 PE=4 SV=1,I79_024737,2,417199.5714,428289.4165,439146.0279,197817.62401,198364.49273,226045.34350000002,183721.99618000002,181405.09600000002,206213.83828999999,205814.72112,222311.15470999997,264337.5429,149980.536284,10834,201.94071582478287,205.1566367428167,210.35710585421657,118.03833292797289,108.11259464353624,129.8448094581259,102.14282833472863,100.45129622569877,119.44445023885078,115.35211255284757,124.09538893879888,155.5185895685916,Cricetulus griseus,i79_024737,428211.6719333334,10973.434803644317,2.56,3,205.8182,207409.15341333332,16141.73014453558,7.78,3,118.6652,190446.97682333333,13703.555998090937,7.2,3,107.3462,230821.13957666667,30175.23900645333,13.07,3,131.6554,264222.2354366667,17,-1.0458,True,-1.1689,True,-0.8915,False,2,High
G3HE30,Uncharacterized protein OS=Cricetulus griseus OX=10029 GN=I79_008801 PE=4 SV=1,I79_008801,2,16257.610099,16573.48444,16059.029773,4390.102356,4089.6473320000005,5181.329449,3387.464453,3271.726423,3894.731745,4362.469116,4709.3267080000005,5981.182981,149980.536284,5855,14.561250508167632,14.690074046703817,14.234081996313817,4.84724156846883,4.124393983645379,5.507216723835018,3.484844486769806,3.352316198094436,4.174338392586669,4.524216870871067,4.864241654516435,6.511371598045618,Cricetulus griseus,i79_008801,16296.708104,259.446317367881,1.59,3,14.4951,4553.693045666667,563.9272084707492,12.38,3,4.8263,3517.9742070000007,331.3736632970947,9.42,3,3.6705,5017.659601666667,852.2678711376219,16.99,3,5.2999,7346.5087395833325,177,-1.8392,True,-2.2114,True,-1.6993,True,3,Medium
G3I5X6,60S ribosomal protein L28 OS=Cricetulus griseus OX=10029 GN=I79_018887 PE=4 SV=1,UNKNOWN,1,37377.7966,37127.60933,34708.721,33934.98012,32989.27954,36895.16814,23523.559719999997,22279.304876,25195.71743,23374.064203,24354.24338,32794.63012,149980.536284,8318,23.5647940988297,23.164083886349125,21.654928484238265,26.37397561781512,23.418285726202303,27.60377237149825,17.034119175013593,16.068584243025807,19.008367256227746,17.062916499813525,17.706753731333993,25.130209684876434,Cricetulus griseus,unknown,36404.70897666667,1474.086100017885,4.05,3,22.7946,34606.475933333335,2037.6877605255506,5.89,3,25.7987,23666.19400866667,1463.4288337701253,6.18,3,17.3704,26840.979234333336,5179.252548008807,19.3,3,19.9666,30379.589538250006,67,-0.0731,False,-0.6213,False,-0.4397,False,0,Medium
G3IIG4,60S ribosomal protein L7 OS=Cricetulus griseus OX=10029 GN=I79_023633 PE=4 SV=1,UNKNOWN,1,4326.023677,5268.8467550000005,5707.168941,6745.72194295,7373.311517541,10531.396868,3886.6695819999995,3811.215481,4218.366271999999,4227.9699688,4507.191564,5274.941958,149980.536284,16241,1.396834634295017,1.683603656585981,1.823664825457908,2.685113120015508,2.680717207858291,4.035441653052857,1.4414527471800136,1.4078151388073719,1.6299283767254107,1.5807277461008509,1.6783265766634043,2.070223386421659,Cricetulus griseus,unknown,5100.679791,705.7624642208881,13.84,3,1.6347,8216.810109496999,2028.9039074120528,24.69,3,3.1338,3972.083778333333,216.597853993139,5.45,3,1.4931,4670.034496933334,542.1493817640107,11.61,3,1.7764,5489.902043940917,213,0.6878,False,-0.3607,False,-0.1272,False,0,Low
G3ILJ8,Actin-related protein 2 OS=Cricetulus griseus OX=10029 GN=I79_024765 PE=3 SV=1,UNKNOWN,1,77064.81777,75394.59033,77129.14107,16803.716488,15252.239654,19501.403965999998,9756.316272,9692.158919,12044.103695999998,13151.156313,14669.110407,18218.186623,149980.536284,24552,16.460315280274735,15.936405424100762,16.30304318551472,4.424512102452733,3.6681571282404484,4.943071163231167,2.393506163184631,2.3682554454567835,3.07839689134936,3.252482835041106,3.6132675704283104,4.729666977355766,Cricetulus griseus,unknown,76529.51639,983.4008556946926,1.28,3,16.2333,17185.786702666664,2150.193613211419,12.51,3,4.3452,10497.526295666665,1339.7594123208644,12.76,3,2.6134,15346.151114333334,2600.4782502752246,16.95,3,3.8651,29889.745125666668,69,-2.1547,True,-2.8658,True,-2.3181,True,3,Medium
G3GVU0,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 OS=Cricetulus griseus OX=10029 GN=I79_001839 PE=3 SV=1",UNKNOWN,1,16403.634823,17260.759043000002,19130.398035,13105.416858,12101.206777,15311.685494,9731.358006,8126.319203,11578.085933999999,7552.069318,8097.47879,13019.083458000001,149980.536284,28575,3.01038972127139,3.13480629550481,3.4743600815139906,2.964910019893526,2.5005965543059574,3.3346834991299206,2.051269705258798,1.706092335371349,2.5426555493669776,1.6047880340004208,1.7137473703504016,2.9040658734637947,Cricetulus griseus,unknown,17598.263967,1394.3606362316457,7.92,3,3.2065,13506.103043000001,1642.3171016021483,12.16,3,2.9334,9811.921047666667,1727.2930249588642,17.6,3,2.1,9556.210522,3011.3094495912865,31.51,3,2.0742,12618.124644916667,109,-0.3818,False,-0.8428,False,-0.8809,False,0,Low
G3IMU3,Argininosuccinate synthase OS=Cricetulus griseus OX=10029 GN=I79_025241 PE=4 SV=1,UNKNOWN,1,20539.33083,29439.59261,31284.424890000002,16357.509779,16563.052047,17524.207478,15011.924522,12521.962266999999,13070.259523,15815.387571,19220.686341,21061.306435,149980.536284,27241,3.9539585574268,5.6084881818436,5.95994413359305,3.8818706477640736,3.5901988701445915,4.003438853995135,3.3193181528499967,2.7576823407843656,3.0109127172946732,3.525289130054599,4.26706311579932,4.928043720859391,Cricetulus griseus,unknown,27087.78277666667,5745.652156951755,21.21,3,5.1741,16814.923101333334,622.796235715352,3.7,3,3.8252,13534.715437333332,1308.3453214272524,9.67,3,3.0293,18699.126782333333,2661.5661670988356,14.23,3,4.2401,19034.13702441667,84,-0.6879,False,-1.0009,True,-0.5346,False,1,Medium
G3H2Q7,B-cell CLL/lymphoma 9 protein OS=Cricetulus griseus OX=10029 GN=I79_004477 PE=4 SV=1,UNKNOWN,1,514224.45279999997,498040.7766,497342.3839,186557.08319,189335.80647,169829.60073,144231.91399,147420.3694,134717.15545999998,207409.22717,202891.51892,175656.55981,149980.536284,146154,18.45061675085568,17.684437694308567,17.659639158185428,8.251785959948423,7.649327117942965,7.231369320265948,5.944101490321059,6.051202447226181,5.784278559889456,8.616984591873997,8.395303654269924,7.660655958229737,Cricetulus griseus,unknown,503202.5377666666,9551.643646114919,1.9,3,17.9316,181907.49679666664,10551.635219936536,5.8,3,7.7108,142123.14628333334,6608.939932535539,4.65,3,5.9265,195319.10196666667,17177.429813713396,8.79,3,8.2243,255638.0707033333,18,-1.4679,True,-1.824,True,-1.3653,True,3,High
G3HTC3,Beta-crystallin B1 OS=Cricetulus griseus OX=10029 GN=I79_014145 PE=3 SV=1,CRYBB1,1,11985.479896,10338.672875,10444.875267,13425.923877000001,14655.472894,12363.356228999999,10434.412919,11270.416865,10095.176846999999,7142.753242000001,6978.873276,6926.036146,149980.536284,27967,2.247389846353858,1.91847423521437,1.938181460235757,3.103453305158636,3.0942481481095205,2.7511125627099515,2.247282612626381,2.4176252948931785,2.265192161465374,1.5508068601086091,1.5091160962063528,1.5785239031933957,Cricetulus griseus,crybb1,10923.009346,921.6574684933705,8.44,3,2.0347,13481.584333333332,1147.0716046926225,8.51,3,2.9829,10600.002210333334,604.8653858755407,5.71,3,2.31,7015.887554666668,113.0005201031331,1.61,3,1.5461,10505.120861083333,131,0.3036,False,-0.0433,False,-0.6386,False,0,Low
G3HR96,Bleomycin hydrolase OS=Cricetulus griseus OX=10029 GN=I79_013360 PE=4 SV=1,BLMH,1,43718.76404,42578.328349999996,47302.35571,101962.18551000001,110247.3506,102465.47067000001,111129.3459,119880.56101,107714.11412,109470.42536,106300.48388,97821.71151,149980.536284,52445,4.371521864992666,4.213292171966771,4.680753161332852,12.568456990639204,12.412671367663139,12.158816639505819,12.763219065582293,13.713224010148982,12.888593470564363,12.67449500998763,12.257851989004687,11.888948852520405,Cricetulus griseus,blmh,44533.14936666667,2465.0610985784183,5.54,3,4.4219,104891.66892666668,4644.977785482718,4.43,3,12.38,112908.00701,6275.215852061787,5.56,3,13.1217,104530.87358333333,6022.605253654517,5.76,3,12.2738,91715.92472166667,33,1.2359,True,1.3422,True,1.231,True,3,High
G3GYH8,C-jun-amino-terminal kinase-interacting protein 1 OS=Cricetulus griseus OX=10029 GN=I79_002857 PE=4 SV=1,MAPK8IP1,1,18922.216589000003,20758.561335,23546.76022,36297.76365,44661.597890000005,42425.07089,74204.12804000001,77811.61156,77426.52491000001,108427.45868,112123.48418,113307.92295000001,149980.536284,68023,1.4587642002310313,1.5837204673890362,1.7964388523515162,3.449617990604142,3.876855919183983,3.8813665136138766,6.570642517691898,6.862518401653027,7.142841071173679,9.678798449237103,9.968367131602896,10.617365994893488,Cricetulus griseus,mapk8ip1,21075.846048000003,2328.5409896721335,11.05,3,1.613,41128.14414333334,4330.120672477114,10.53,3,3.7359,76480.75483666667,1980.9959895157767,2.59,3,6.8587,111286.28860333333,2545.663999407494,2.29,3,10.0882,62492.758407833346,40,0.9645,False,1.8595,True,2.4006,True,2,High
G3I2E4,Caspase-12 (Fragment) OS=Cricetulus griseus OX=10029 GN=I79_017574 PE=3 SV=1,UNKNOWN,1,867280.0449,848160.7549,911356.3737,356014.9866,351434.1105,391884.6457,281836.744,269828.49607,295321.3326,329220.6638,350855.782,420177.9752,149980.536284,81961,55.490798515767565,53.704166951436946,57.705611303851846,28.080701237325798,25.318492827095756,29.755610070568085,20.712185136959018,19.75038008090862,22.61125001816281,24.390336192037253,25.888364264663146,32.67671021604412,Cricetulus griseus,unknown,875599.0578333334,32408.7340236772,3.7,3,55.6335,366444.5809333334,22150.48030991729,6.04,3,27.7183,282328.8575566667,12753.541092607078,4.52,3,21.0246,366751.4736666667,47516.44856731661,12.96,3,27.6518,472780.9924975001,8,-1.2567,True,-1.6329,True,-1.2555,True,3,High
G3HVV8,"Class I histocompatibility antigen, GOGO-A0101 alpha chain OS=Cricetulus griseus OX=10029 GN=I79_015100 PE=4 SV=1",UNKNOWN,1,40998.86685,40083.28312,39866.12425,22249.505885,19554.163744,20109.971516,22359.544579,21212.918676,24100.32819,9286.147888,10010.343232,9823.130769,149980.536284,43012,4.998631083925278,4.836271891260253,4.810070461208362,3.344087641025513,2.6844220409011195,2.909642809924746,3.1311860358988497,2.9587323715943086,3.5161736965461063,1.3109432978639366,1.4074810389769976,1.4557023389235078,Cricetulus griseus,unknown,40316.09140666667,601.187344526804,1.49,3,4.8817,20637.880381666666,1423.106862501798,6.9,3,2.9794,22557.597148333338,1453.8576410876956,6.45,3,3.202,9706.540629666666,375.91178421292415,3.87,3,1.3914,23304.527391583335,75,-0.966,False,-0.8377,False,-2.0542,True,1,Medium
G3GYI3,Cyclic AMP-responsive element-binding protein 3-like protein 1 OS=Cricetulus griseus OX=10029 GN=I79_002862 PE=4 SV=1,UNKNOWN,1,634081.2812999999,614856.3324,646529.6794,334412.8211,346893.449,298410.194,262787.1146,277219.1246,251898.348,323252.9034,310619.32330000005,275332.89060000004,149980.536284,52002,63.94310991872815,61.360750478831314,64.52165204181966,41.57284919481159,39.389206952387354,35.7117775463252,30.438242625695246,31.98144146431985,30.397808421991545,37.74507879196491,36.1236514854168,33.74817859123418,Cricetulus griseus,unknown,631822.4310333333,15957.037035145911,2.53,3,63.2752,326572.1547,25174.660693757578,7.71,3,38.8913,263968.1957333333,12701.639515803212,4.81,3,30.9392,303068.37243333337,24836.35542770217,8.19,3,35.8723,381357.788475,10,-0.9521,False,-1.2592,True,-1.0599,True,2,High
G3GXX4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Cricetulus griseus OX=10029 GN=I79_002619 PE=4 SV=1,UNKNOWN,1,107773.12513,111031.20456,111928.58502,122790.34113,120803.30273,135599.3271,126837.99629,127574.05095,141732.47613,126869.41373,138425.73859,156903.20073,149980.536284,34639,16.316011383748943,16.634768642548842,16.769214777719586,22.91636745552489,20.59276425294119,24.361837846659462,22.055635811251825,22.094892551636413,25.676807780859665,22.239731314603816,24.167666816488076,28.872124952398284,Cricetulus griseus,unknown,110244.30490333332,2186.6344062499993,1.98,3,16.5733,126397.65698666667,8030.574702767389,6.35,3,22.6237,132048.17445666666,8394.922172999699,6.36,3,23.2758,140732.78435,15149.222273581998,10.76,3,25.0932,127355.73017416665,26,0.1973,False,0.2604,False,0.3523,False,0,Medium
G3H060,Dual specificity protein phosphatase 26 OS=Cricetulus griseus OX=10029 GN=H671_1g1193 PE=3 SV=1,DUSP26,1,31021.15023,40948.11856,44475.2726,5306.604265,4398.734911,4862.0740430000005,4809.24295,4551.097927,5563.367194,3984.5753210000003,5633.241285,7736.765668,149980.536284,23947,6.793219565646178,8.874009662701809,9.638391522809368,1.432558958345624,1.0846206319186709,1.26353801786285,1.2096539777702637,1.1401446657576493,1.4578861570712947,1.010343089821959,1.4226250795464133,2.059304745356276,Cricetulus griseus,dusp26,38814.84713,6976.136999247813,17.97,3,8.4352,4855.804406333334,453.96714885665847,9.35,3,1.2602,4974.569356999999,525.9960863607513,10.57,3,1.2692,5784.860758,1880.6845691063115,32.51,3,1.4974,13607.520412833335,101,-2.9986,True,-2.9637,True,-2.746,True,3,Medium
G3HAQ9,Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Cricetulus griseus OX=10029 GN=I79_007517 PE=4 SV=1,ERGIC3,1,11341.683113,12332.827565,12588.54144,9475.56616,9973.072015,11941.755818,10453.329174999999,9279.232019,13092.213037000001,10941.982832,9764.806915,13821.877777,149980.536284,43178,1.377475413737738,1.482303713954673,1.513038403515886,1.4186967164305841,1.3638531736312312,1.7211690348648594,1.4582354761764955,1.289271568403617,1.902775464680154,1.5387620111997364,1.3676795697007917,2.0404070605330826,Cricetulus griseus,ergic3,12087.684039333333,658.5859344341659,5.45,3,1.4576,10463.464664333333,1304.180420876139,12.46,3,1.5012,10941.591410333334,1952.8200297893843,17.85,3,1.5501,11509.555841333333,2087.237489006732,18.13,3,1.6489,11250.573988833334,125,-0.2082,False,-0.1437,False,-0.0707,False,0,Low
G3HZ70,Endoribonuclease Dicer OS=Cricetulus griseus OX=10029 GN=I79_016365 PE=3 SV=1,UNKNOWN,1,1645576.733,1384056.8157,1203685.1923,1017431.4195,1143299.8579,570137.4184000001,688638.06648,848209.4676999999,455555.7598,966968.9073999999,867558.2622799999,311768.79549,149980.536284,216118,39.92970185088163,33.235333258479635,28.904072470576146,30.43414619456001,31.237077510307138,16.41747881914504,19.192680830996135,23.545454029152992,13.227799496731834,27.16811574292645,24.276771559527653,9.195047913892857,Cricetulus griseus,unknown,1411106.2470000002,222184.12912671105,15.75,3,34.023,910289.5652666666,301228.0335722679,33.09,3,26.0296,664134.4313266667,197470.3893845869,29.73,3,18.6553,715431.98839,353098.568486847,49.35,3,20.2133,925240.5579958335,4,-0.6324,False,-1.0873,True,-0.9799,False,1,Medium
G3HG49,G-protein coupled receptor 87 OS=Cricetulus griseus OX=10029 GN=I79_009568 PE=3 SV=1,UNKNOWN,1,54786.23333,49001.02293,52163.38997,60377.92486,52861.17245,63307.7163,52782.45201,47125.17235,55183.82877,56208.53335,66079.6043,79068.97568,149980.536284,31563,9.102528272142314,8.056824997235694,8.576786342832571,12.366500647060906,9.88916678909648,12.48234643351028,10.07272184622187,8.957144278463934,10.971614893516453,10.813391500618195,12.661127425574495,15.967617795363942,Cricetulus griseus,unknown,51983.548743333326,2896.795124473558,5.57,3,8.5787,58848.93787,5388.498911031268,9.16,3,11.5793,51697.15104333334,4137.498575841145,8.0,3,10.0005,67119.03777666668,11465.612602260968,17.08,3,13.1474,57412.16885833333,42,0.179,False,-0.008,False,0.3687,False,0,Medium
G3HLB3,Glutamine synthetase OS=Cricetulus griseus OX=10029 GN=H671_1g2333 PE=3 SV=1,UNKNOWN,1,16177.878676,16525.272827,17840.617737,24197.405769999998,23310.636588,25858.73278,15488.138149999999,15597.693976999999,17679.704415,15925.266923,14797.324348,20077.981988,149980.536284,42285,2.0063380439293206,2.028146688607806,2.1895789657944777,3.699383793537852,3.2551348476076494,3.805736915594045,2.206218052560417,2.212936509366609,2.623769420300781,2.2868534496994672,2.116313877491571,3.0265372028683557,Cricetulus griseus,unknown,16847.92308,877.0705134506082,5.21,3,2.0747,24455.591712666665,1293.5198246119883,5.29,3,3.5868,16255.178847333334,1234.8908613757915,7.6,3,2.3476,16933.524419666664,2780.966318100777,16.42,3,2.4766,18623.05451491667,87,0.5376,False,-0.0517,False,0.0073,False,0,Medium
